question,answer,answer_html,link,name,source,category,country,region,city,lang,last_update
Can someone who has had COVID-19 spread the illness to others?,"The virus that causes COVID-19 is spreading from person-to-person. Someone who is actively sick with COVID-19 can spread the illness to others. That is why CDC recommends that these patients be isolated either in the hospital or at home (depending on how sick they are) until they are better and no longer pose a risk of infecting others.. . How long someone is actively sick can vary so the decision on when to release someone from isolation is made on a case-by-case basis in consultation with doctors, infection prevention and control experts, and public health officials and involves considering specifics of each situation including disease severity, illness signs and symptoms, and results of laboratory testing for that patient.. . Current CDC guidance for when it is OK to release someone from isolation is made on a case by case basis and includes meeting all of the following requirements:. . The patient is free from fever without the use of fever-reducing medications.. The patient is no longer showing symptoms, including cough.. The patient has tested negative on at least two consecutive respiratory specimens collected at least 24 hours apart.. Someone who has been released from isolation is not considered to pose a risk of infection to others.","<p>The virus that causes COVID-19 is <a href=""https://www.cdc.gov/coronavirus/2019-ncov/about/transmission.html"">spreading from person-to-person</a>. Someone who is actively sick with COVID-19 can spread the illness to others. That is why CDC recommends that these patients be isolated either in the hospital or at home (depending on how sick they are) until they are better and no longer pose a risk of infecting others.</p>. <p>How long someone is actively sick can vary so the decision on when to release someone from isolation is made on a case-by-case basis in consultation with doctors, infection prevention and control experts, and public health officials and involves considering specifics of each situation including disease severity, illness signs and symptoms, and results of laboratory testing for that patient.</p>. <p>Current <a href=""https://www.cdc.gov/coronavirus/2019-ncov/hcp/disposition-hospitalized-patients.html"">CDC guidance for when it is OK to release someone from isolation</a>&nbsp;is made on a case by case basis and includes meeting all of the following requirements:</p>. <ul>. <li>The patient is free from fever without the use of fever-reducing medications.</li>. <li>The patient is no longer showing symptoms, including cough.</li>. <li>The patient has tested negative on at least two consecutive respiratory specimens collected at least 24 hours apart.</li>. </ul>. <p>Someone who has been released from isolation is not considered to pose a risk of infection to others.</p>",. https://www.cdc.gov/coronavirus/2019-ncov/faq.html,Frequently Asked Questions,Center for Disease Control and Prevention (CDC),How It Spreads,USA,,,en,3/17/20
What steps can my family take to reduce our risk of getting COVID-19?,"Practice everyday preventive actions to help reduce your risk of getting sick and remind everyone in your home to do the same. These actions are especially important for older adults and people who have severe chronic medical conditions:. . Avoid close contact with people who are sick.. Stay home when you are sick, except to get medical care.. Cover your coughs and sneezes with a tissue and throw the tissue in the trash.. Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food.. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.. Clean and disinfect frequently touched surfaces and objects. (e.g., tables, countertops, light switches, doorknobs, and cabinet handles).","<p>Practice everyday preventive actions to help reduce your risk of getting sick and remind everyone in your home to do the same. These actions are especially important for older adults and people who have severe chronic medical conditions:</p>. <ul>. <li>Avoid close contact with people who are sick.</li>. <li>Stay home when you are sick, except to get medical care.</li>. <li>Cover your coughs and sneezes with a tissue and throw the tissue in the trash.</li>. <li>Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food.</li>. <li>If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.</li>. <li>Clean and disinfect frequently touched surfaces and objects<br>. (e.g., tables, countertops, light switches, doorknobs, and cabinet handles).</li>. </ul>",https://www.cdc.gov/coronavirus/2019-ncov/prepare/faq.html,FAQs for Individuals and Families,Center for Disease Control and Prevention (CDC),Preparing your Home for COVID-20,USA,,,en,3/17/20
symptoms of coronavirus day 1,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
How many cases of coronavirus in Madagascar,This interactive map by the Johns Hopkins University provides updated information by country about the number of confirmed Covid19 cases and deaths: https://coronavirus.jhu.edu/map.html.,,,,,,,,,,
how long does coronavirus stay on wood,"A recent study shows that the virus can live in the air and on surfaces from several hours to several days. On plastic, it can live for up to 72 hours (3 days). On stainless steel, it can live for up to 48 hours (2 days). On cardboard, it can live up to 24 hours (1 day). On copper, it can live up to four hours. It is detectable in the air for up to three hours. However, the amount of virus that remains is quite minimal - so the risk is still relatively low to contract COVID19 from these surfaces.  It is still important to regularly clean and disinfect high-touch surfaces as well as packages and mail that come through. Remember to wash your hands frequently with soap and water or an alcohol based hand sanitizer (60%). ",,,,,,,,,,
Do I have to wear a mask all the time if I am not infected,"You should only wear a face mask if a healthcare professional recommends it. Generally, those who have COVID-19 and are showing symptoms should wear face-masks to prevent others from the risk of getting infected  Please do not stock significantly on face masks as they are also crucial for health workers and those who are taking care of people infected with COVID-19.",,,,,,,,,,
How can I protect my child from COVID-19 infection?,"You can encourage your child to help stop the spread of COVID-19 by teaching them to do the same things everyone should do to stay healthy.. . Clean hands often using soap and water or alcohol-based hand sanitizer. Avoid people who are sick (coughing and sneezing). Clean and disinfect high-touch surfaces daily in household common areas (e.g. tables, hard-backed chairs, doorknobs, light switches, remotes, handles, desks, toilets, sinks). Launder items including washable plush toys as appropriate in accordance with the manufacturer's instructions. If possible, launder items using the warmest appropriate water setting for the items and dry items completely. Dirty laundry from an ill person can be washed with other people's items.. You can find additional information on preventing COVID-19 at Prevention for 2019 Novel Coronavirus and at Preventing COVID-19 Spread in Communities. Additional information on how COVID-19 is spread is available at How COVID-19 Spreads.","<p>You can encourage your child to help stop the spread of COVID-19 by teaching them to do the same things everyone should do to stay healthy.</p>. <ul>. <li>Clean hands often using soap and water or alcohol-based hand sanitizer</li>. <li>Avoid people who are sick (coughing and sneezing)</li>. <li>Clean and disinfect high-touch surfaces daily in household common areas (e.g. tables, hard-backed chairs, doorknobs, light switches, remotes, handles, desks, toilets, sinks)</li>. <li>Launder items including washable plush toys as appropriate in accordance with the manufacturer&rsquo;s instructions. If possible, launder items using the warmest appropriate water setting for the items and dry items completely. Dirty laundry from an ill person can be washed with other people&rsquo;s items.</li>. </ul>. <p>You can find additional information on preventing COVID-19 at <a href=""https://www.cdc.gov/coronavirus/about/prevention.html"">Prevention for 2019 Novel Coronavirus</a> and at <a href=""https://www.cdc.gov/coronavirus/2019-ncov/community/index.html"">Preventing COVID-19 Spread in Communities</a>. Additional information on how COVID-19 is spread is available at <a href=""https://www.cdc.gov/coronavirus/2019-ncov/about/transmission.html"">How COVID-19 Spreads</a>.</p>",https://www.cdc.gov/coronavirus/2019-ncov/prepare/children-faq.html,Coronavirus Disease-2019 (COVID-19) and Children,Center for Disease Control and Prevention (CDC),Children,USA,,,en,3/17/20
What should be done if a coronavirus infection is suspected? What are the symptoms?,"Persons who have had personal contact with someone confirmed as carrying SARS-CoV-2 should immediately, and irrespective of symptoms, contact their competent health office, get in touch with the doctor or call 116117 – and stay at home.. . A coronavirus infection causes flu-like symptoms such as dry cough, fever, a runny nose and fatigue. There have also been reports of difficulties breathing, an itchy throat, headaches, joint pains, nausea, diarrhoea and shivering.","<p>Persons who have had personal contact with someone confirmed as carrying SARS-CoV-2 should immediately, and irrespective <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">of</span> symptoms, contact their <a href=""https://tools.rki.de/plztool"" title=""External link in new window"" target=""_blank"">competent health office</a>, get in touch with <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">the</span> doctor or call 116117 – and stay at home.. </p>. <p>A coronavirus infection causes flu-like symptoms such as dry cough, fever, a runny nose and fatigue. There have also been reports <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">of</span> difficulties breathing, an itchy throat, headaches, joint pains, nausea, diarrhoea and shivering.</p>",https://www.bundesgesundheitsministerium.de/en/press/2020/coronavirus.html,Frequently asked questions,Bundesministerium für Gesundheit,,Germany,,,en,3/18/20
symptoms of coronavirus malayalam,"The most common symptoms are fever, tiredness and dry cough. Some people exprience nasal congestion, aches and pains, runny nose, sore throat, and diarrhea. Most symptoms usually begin mild and slowly. Some people don't even show symptoms despite being infected with COVID19, and generally continue to feel well.",,,,,,,,,,
Are there measures for train passengers?,"In addition to the measures for passengers arriving from especially affected countries (see above), the following general order by the Federal Police applies:. . Railway companies operating public passenger long-distance and regional trains are required to notify the command and location service of the Federal Police of suspected COVID-19 cases immediately. Contact data and information on how the notification must be phrased are to be found in the General order.. . Should a suspected case arise, travellers on said train must fill out the ""Train disembarkation card"". These forms will be handed out to passengers if necessary.. . The Federal Ministry of Transport and Digital Infrastructure (BMVi) has made additional information on rail transport available on its website.. . What other arrangements have been put in place to protect the German public from the novel coronavirus SARS-CoV-2?. The Robert Koch Institute has been granted wider powers in coordinating response measures with the Federal Laender.. . Regular coordination meetings are being held among the EU Health Ministers so as to guarantee as unified an approach as possible.. . To ensure that suspected cases are detected as early as possible, doctors, hospitals and laboratories have also been required to report any cases where there are reasonable grounds for suspicion (CoronaVMeldeV).. . Additional, possible measures will continually be under scrutiny depending on the risk assessment for Germany.. . Non-budgeted expenditure of up to 23 million euros are earmarked to fund, inter alia, measures related to repatriation and outbreak control, measures taken by the RKI, as well as research promotion and risk communication measures.","<p>In addition to <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">the</span> measures <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">for</span> passengers arriving from especially affected countries (see above), <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">the</span> following general order by <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">the</span> Federal Police applies:</p><ul><li><p>Railway companies operating public passenger long-distance  and regional trains are required to notify <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">the</span> command and location  service <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">of</span> <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">the</span> Federal Police <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">of</span> suspected COVID-19 cases immediately.  Contact data and information on how <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">the</span> notification must be phrased are  to be found in <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">the</span> <a href=""https://www.bmvi.de/SharedDocs/DE/Anlage/LF/anordnung-bundespolizei-corona.html"" title=""General order by the Federal Police on the coronavirus"" target=""_blank"">General order</a>.</p></li><li><p>Should a suspected case arise, travellers on said train must fill out <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">the</span> &quot;<a href=""https://www.bmvi.de/SharedDocs/DE/Anlage/E/aussteigekarte-bahn.html"" title=""Train disembarkation card"" target=""_blank"">Train disembarkation card</a>&quot;. These forms will be handed out to passengers if necessary.</p> </li></ul><p>The Federal Ministry <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">of</span> Transport and Digital Infrastructure (BMVi) has made additional <a href=""https://www.bmvi.de/SharedDocs/DE/Artikel/LF/coronavirus-anordnung.html"" title=""Externer Link im neuen Fenster"" target=""_blank"" class=""external-link-new-window"">information on rail transport available</a> on its website.</p>",https://www.bundesgesundheitsministerium.de/en/press/2020/coronavirus.html,Frequently asked questions,Bundesministerium für Gesundheit,,Germany,,,en,3/18/20
Do pregnant women have a higher risk factor,"Throughout pregnancy, women experience changes in their bodies that may increase the risk of some illnesses, including viral respiratory infections, such as the flu. At this time, there is insufficient evidence to suggest that pregnant women are at a greater risk for more serious outcomes related to COVID-19.  It is always important for pregnant women to protect themselves from illnesses and take the appropriate steps to avoid and prevent infection. Proper hygiene can help reduce the risk of getting an infection or spreading infection to others.  If you are pregnant and concerned about COVID-19, speak to your health care provider.",,,,,,,,,,
symptoms of coronavirus diarrhoea,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
how long will coronavirus lockdowns last,"It depends, and is often decided on a case-by-case basis. The CDC guidance currently says it is okay to release someone from isolation if they have met the following requirements:  * The individual has no more fever without use of fever-reducing medications  * The individual no longer showing symptoms like the cough * The individual has tested negative on at least two tests that have been collected at least 24 hours apart",,,,,,,,,,
What are the symptoms of Corona Virus,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
Will schools be dismissed if there is an outbreak in my community?,"Depending on the situation, public health officials may recommend community actions to reduce exposures to COVID-19, such as school dismissals. Read or watch local media sources that report school dismissals or and watch for communication from your child's school. If schools are dismissed temporarily, discourage students and staff from gathering or socializing anywhere, like at a friend's house, a favorite restaurant, or the local shopping mall.","<p>Depending on the situation, public health officials may recommend community actions to reduce exposures to COVID-19, such as school dismissals. Read or watch local media sources that report school dismissals or and watch for communication from your child&rsquo;s school. If schools are dismissed temporarily, discourage students and staff from gathering or socializing anywhere, like at a friend&rsquo;s house, a favorite restaurant, or the local shopping mall.</p>",https://www.cdc.gov/coronavirus/2019-ncov/prepare/faq.html,FAQs for Individuals and Families,Center for Disease Control and Prevention (CDC),In Case of an Outbreak in Your Community,USA,,,en,3/17/20
symptoms of coronavirus toronto,"The most common symptoms are fever, tiredness and dry cough. Some people exprience nasal congestion, aches and pains, runny nose, sore throat, and diarrhea. Most symptoms usually begin mild and slowly. Some people don't even show symptoms despite being infected with COVID19, and generally continue to feel well.",,,,,,,,,,
whats the coronavirus name,"Coronavirus are a type of virus - there are many kinds, and some of them can cause disease. Examples of coronaviruses include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrome (MERS-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   COVID19 is a novel coronavirus that has been recently identified.   [[Would you like more information on COVID19?]] [[Would you like to know the symptoms of COVID19?]]    ",,,,,,,,,,
where the corona virus originated from,"It was first found in Wuhan City, Hubei Province, China. The first cases are linked to a live animal market but now COVID-19 is able to spread person-to-person.",,,,,,,,,,
What is the current advice if I am planning to travel?,"1. self-isolate for 14 days after returning from travel  2. monitor for symptoms of COVID-19 (fever, cough or difficulty breathing) for 14 days after returning to Canada 3. wash your hands often for 20 seconds and cough or sneeze into a tissue or the bend of your arm, not your hand",,,,,,,,,,
"Is six feet a best practice, or is that a 100% safe zone?","Close contact with other people means being within six feet of said person. Maintaining a six foot distance between yourself and others (who may possibly be infected) can help reduce a healthy person's risk of exposure and transmission of COVID-19. However, this is a recommended practice and does not mean that if you maintain a six foot difference from everyone, you will not get the virus.",,,,,,,,,,
