group,worker_id,chat_input,chat_response,chat_bot_type
jugglechat,5ed4c3d73ac88100098198f1,How long should you wash your hands for,"Handwashing with soap and water for at least 20 seconds is the best way to protect yourself and your family from getting sick! This is important to do regularly - everytime you wash your hands - but especially after blowing your nose, coughing, sneezing, going to the restroom, and before eating or preparing food? If you do not have soap and water available, please use an alcohol based hand sanitizer that has at least 60% alcohol.",faq
jugglechat,5ed4c3d73ac88100098198f1,How far apart should you stay from people,"avoid unnecessary contact with others and stay at home, if possible",qa
jugglechat,56ce42d9465e580006846f57,is asthma putting me more at risk,"Older adults (people over the age of 65), those who live in nursing homes or long term care facilities, people who have underlying medical conditions (e.g. chronic lung disease, asthma, diabetes, sickle cell anemia, weakened immune system, chemotherapy, liver cirrhosis, etc), pregnant people, and incarcerated populations.",faq
jugglechat,5f7348befe835c03850492ff,Will a vaccine be effective,"At this time, there is no vaccine for COVID-19",qa
jugglechat,56ce42d9465e580006846f57,is age a key factor,"The key is to minimize the number of gatherings as much as possible and to achieve space between individuals when events or activities cannot be modified, postponed, or canceled",qa
jugglechat,5d56742f6e2ec30001cdf081,What is the typical incubation time for COVID-19,"The “incubation period” means the time between catching the virus and beginning to have symptoms of the disease. Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days. These estimates will be updated as more data become available.",faq
jugglechat,56ce42d9465e580006846f57,is there a cure,"Efforts to develop a vaccine are already underway. As yet, there is no vaccine available, however.. ",faq
jugglechat,5d56742f6e2ec30001cdf081,What are the symptoms,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",faq
jugglechat,5fad4bbb57e5f001af893c8b,What is IPC,CDC's website,qa
jugglechat,5dfe2d266552efac7758576e,What is covid,CDC's website,qa
jugglechat,5dfe2d266552efac7758576e,am I sick,"restrict contact with pets and other animals while you are sick with COVID-19, just like you would around other people. Although there have not been reports of pets or other animals becoming sick with COVID-19, it is still recommended that people sick with COVID-19 limit contact with animals until more information is known about the virus. When possible, have another member of your household care for your animals while you are sick. If you are sick with COVID-19, avoid contact with your pet, including petting, snuggling, being kissed or licked, and sharing food",qa
jugglechat,5fad4bbb57e5f001af893c8b,What percentage of critically ill patients died in Wuhan,China's WHO country office was informed of a cluster of patients with pneumonia of unknown cause,qa
jugglechat,56ce42d9465e580006846f57,must i have the vaccine,"Efforts to develop a vaccine are already underway. As yet, there is no vaccine available, however.. ",faq
jugglechat,5dfe2d266552efac7758576e,can I visit a doctor,"If you have developed symptoms like fever, cough, and/or difficulty breathing, and you have been in close contact with a person known to have COVID-19, or they have recently traveled to an area with ongoing spread of COVID-19, yes. Stay home and call your health care provider. Older patients and individuals who have severe underlying medical conditions should contact their healthcare providers earlier, even if the illness seems mild. If your symptoms are severe - like you are having persistent pain/pressure in chest, new confusion or inability to arouse, or bluish lips or face, contact healthcare provider or go to the emergency room - it is important to seek care immediately. Your doctor will determine if you have symptoms of COVID-19 and whether you should be tested?",faq
jugglechat,5dfe2d266552efac7758576e,can I see my family,file a Disability Insurance (DI) claim,qa
jugglechat,5fad4bbb57e5f001af893c8b,When did COVID-19 become apparent,"It was first found in Wuhan City, Hubei Province, China. The first cases are linked to a live animal market but now COVID-19 is able to spread person-to-person.",faq
jugglechat,56ce42d9465e580006846f57,what if i react badly to vaccine,"At this time, there is no vaccine for COVID-19",qa
jugglechat,5dfe2d266552efac7758576e,can I go to the shop,"if you need to go grocery shopping, limit to once a week",qa
jugglechat,5e28a683049d4806e244ca02,Is a lockdown truelly effective for stopping the spread,Supportive care,qa
jugglechat,5fad4bbb57e5f001af893c8b,What are the symptoms,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",faq
jugglechat,5ede88650fc669109d447993,How many cases of Covid 19 are there currently,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",faq
jugglechat,5fad4bbb57e5f001af893c8b,What is the mortality rate,"Call ahead: If you are experiencing symptoms of COVID-19, and may have had contact with a person with COVID-19 or recently traveled to countries with apparent community spread, call your health care provider or local public health department first before seeking medical care so that appropriate precautions can be taken.",faq
jugglechat,5ede88650fc669109d447993,What are the symptoms,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",faq
jugglechat,5d833b0e6642ee0001bfa9cb,How can we avoid covid,there is no evidence to support transmission of COVID-19 through imported goods,qa
jugglechat,5d833b0e6642ee0001bfa9cb,How do we treat covid,there is no evidence to support transmission of COVID-19 through imported goods,qa
jugglechat,5cf17b927c3db00019d46169,how are you,"I'm sorry, but I don't seem to have a solid answer for that.. :(",bot_challenge
jugglechat,5d833b0e6642ee0001bfa9cb,How is covid transmitted,"It is able to spread person-to-person. The spread can also be through respiratory droplets released when you sneeze, cough, or talk. Respiratory droplets may also be passed from person-to-person through commonly used surfaces such as door nobs, elevator buttons and bathroom faucets.  [[Would you like more information?]] Among viruses, some are more contagious than others; for example, measles is so contagious that if one person has it, 9 out of 10 people of ALL ages around them will also become infected if they are not protected. COVID-19 is able to spread easily in the community, which is called ""community spread"".   [[Would you like more information on how you can avoid getting infected with the virus that causes Covid19?]] Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. It means avoiding crowds, mass gatherings, and maintaining at least a 6 foot distance fom others. This means no handshakes, hugs, or high-fives. It is also important to practice frequent hand-washing with soap and water or an alcohol-based (at least 60%) hand sanitizer.",faq
jugglechat,5f6dbceffa9ab9240869641c,Sure!,"people have been infected with the virus in an area, including some who are not sure how or where they became infected",qa
jugglechat,5d833b0e6642ee0001bfa9cb,Is there a cure for covid,"It is able to spread person-to-person. The spread can also be through respiratory droplets released when you sneeze, cough, or talk. Respiratory droplets may also be passed from person-to-person through commonly used surfaces such as door nobs, elevator buttons and bathroom faucets.  [[Would you like more information?]] Among viruses, some are more contagious than others; for example, measles is so contagious that if one person has it, 9 out of 10 people of ALL ages around them will also become infected if they are not protected. COVID-19 is able to spread easily in the community, which is called ""community spread"".   [[Would you like more information on how you can avoid getting infected with the virus that causes Covid19?]] Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. It means avoiding crowds, mass gatherings, and maintaining at least a 6 foot distance fom others. This means no handshakes, hugs, or high-fives. It is also important to practice frequent hand-washing with soap and water or an alcohol-based (at least 60%) hand sanitizer.",faq
jugglechat,5ede88650fc669109d447993,Is there any medication available for these,"At this time, there are no natural health products that are authorized to treat or protect against COVID-19.",faq
jugglechat,5cf17b927c3db00019d46169,can you help me,"It is important to daily practice actions that will not only reduce your chances of getting sick, but also of those around you. Practice habits to keep you and your family safe.   Please avoid close contact with those who are sick. When you are sick, stay at home - except when getting medical care. Cover your coughs and sneezes with tissues, and throw the tissue away. Wash your hands with soap and water for at least 20 seconds, especially after blowing your nose, coughing, sneezing, using the restroom, and before eating or preparing food. If you don't have soap and water, use an alcohol-based hand sanitizer that has at least 60% alcohol. ALWAYS wash your hands with soap and water if your hands are visibly dirty. Please also clean and disinfect frequently touched surfaces (e.g. tables, countertops, light switches, door knobs, cabinet handles).",faq
jugglechat,5f6dbceffa9ab9240869641c,What is IPC,CDC's website,qa
jugglechat,5d833b0e6642ee0001bfa9cb,Can we stop transmission,there is no evidence to support transmission of COVID-19 through imported goods,qa
jugglechat,5ede88650fc669109d447993,How can I stay safe,"their symptoms are going to be similar to the symptoms adults get. This includes: cold-like symptoms like fever, runny nose, and cough. Vomiting and diarrhea are also possible.   [More information on how to stay safe and healthy",qa
jugglechat,5d7978a501a3bf00172a9053,how do we prevent covid spreading,there is no evidence to support transmission of COVID-19 through imported goods,qa
jugglechat,5cb9a316531e2200010b7d42,how can I get tested for COVID-19,call your state or local health department or a medical provider,qa
jugglechat,5f6dbceffa9ab9240869641c,What is CDC,"A novel, or new, coronavirus is one that has not been identified before. COVID19 is an example of a novel coronavirus as it has not been seen before.   [[Would you like more information on COVID19?]] COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).",faq
jugglechat,5d7978a501a3bf00172a9053,how can we limit transmission in hospitals,there is no evidence to support transmission of COVID-19 through imported goods,qa
jugglechat,5cf17b927c3db00019d46169,what other advice do you have,"Each EU/EEA country may issue specific advice to travellers to areas with local or community transmission of COVID-19. Consult your local health authority or the Ministry of Foreign Affairs to get advice tailored for residents in your setting. . . For an updated list of areas of presumed community transmission, please refer to WHO situation reports for country classification.",faq
jugglechat,5d7978a501a3bf00172a9053,where did covid originate,"It is able to spread person-to-person. The spread can also be through respiratory droplets released when you sneeze, cough, or talk. Respiratory droplets may also be passed from person-to-person through commonly used surfaces such as door nobs, elevator buttons and bathroom faucets.  [[Would you like more information?]] Among viruses, some are more contagious than others; for example, measles is so contagious that if one person has it, 9 out of 10 people of ALL ages around them will also become infected if they are not protected. COVID-19 is able to spread easily in the community, which is called ""community spread"".   [[Would you like more information on how you can avoid getting infected with the virus that causes Covid19?]] Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. It means avoiding crowds, mass gatherings, and maintaining at least a 6 foot distance fom others. This means no handshakes, hugs, or high-fives. It is also important to practice frequent hand-washing with soap and water or an alcohol-based (at least 60%) hand sanitizer.",faq
jugglechat,5f6dbceffa9ab9240869641c,How many people have died from COVID,"It has shown some promise in a few cases, but needs to be tested among many more people",qa
jugglechat,5f68b388639cf2015e259207,When will the pandemic end ,travel restrictions and entry screening only apply to travelers arriving from countries with a level 3 travel health notice,qa
jugglechat,5f966d8921aa2d5482db1325,"Hi, can you help me with information about covid-19",CDC's health communication resources. CDC information on stigma and COVID-19,qa
jugglechat,5ede88650fc669109d447993,How many cases,This interactive map by the Johns Hopkins University provides updated information by country about the number of confirmed Covid19 cases and deaths: https://coronavirus.jhu.edu/map.html.,faq
jugglechat,5cf17b927c3db00019d46169,thank you,"I'm sorry, but I don't seem to have a solid answer for that.. :(",bot_challenge
jugglechat,5f6dbceffa9ab9240869641c,Do we have a vaccine,"At this time, there is no vaccine for COVID-19",qa
jugglechat,5d7978a501a3bf00172a9053,i would like more information,COVID19 is a novel coronavirus that has been recently identified,qa
jugglechat,5d7978a501a3bf00172a9053,what is community spread,temporary school dismissals,qa
jugglechat,5f68b388639cf2015e259207,how is the weather today ,"All 50 states in the U.S., as well as D.C., Puerto Rico, Guam, and the U.S. Virgin Islands have reported presumptive positive cases of COVID-19.",faq
jugglechat,5f966d8921aa2d5482db1325,What are the symptoms of covid-19,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",faq
jugglechat,5eaf1a2c649fd108284c2b5f,Would you please give a summary of the information presented,COVID19 is a novel coronavirus that has been recently identified,qa
jugglechat,59e09b1f24d7bf00012f0ca8,Please provide a brief overview of the lesson.,"Each EU/EEA country may issue specific advice to travellers to areas with local or community transmission of COVID-19. Consult your local health authority or the Ministry of Foreign Affairs to get advice tailored for residents in your setting. . . For an updated list of areas of presumed community transmission, please refer to WHO situation reports for country classification.",faq
jugglechat,5eaf1a2c649fd108284c2b5f,How does COVID19 spread,"It is able to spread person-to-person. The spread can also be through respiratory droplets released when you sneeze, cough, or talk. Respiratory droplets may also be passed from person-to-person through commonly used surfaces such as door nobs, elevator buttons and bathroom faucets.  [[Would you like more information?]] Among viruses, some are more contagious than others; for example, measles is so contagious that if one person has it, 9 out of 10 people of ALL ages around them will also become infected if they are not protected. COVID-19 is able to spread easily in the community, which is called ""community spread"".   [[Would you like more information on how you can avoid getting infected with the virus that causes Covid19?]] Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. It means avoiding crowds, mass gatherings, and maintaining at least a 6 foot distance fom others. This means no handshakes, hugs, or high-fives. It is also important to practice frequent hand-washing with soap and water or an alcohol-based (at least 60%) hand sanitizer.",faq
jugglechat,5d91b008f9f7440016406572,why do people not wear gloves as well as face masks ,"You should only wear a face mask if a healthcare professional recommends it. Generally, those who have COVID-19 and are showing symptoms should wear face-masks to prevent others from the risk of getting infected  Please do not stock significantly on face masks as they are also crucial for health workers and those who are taking care of people infected with COVID-19.",faq
jugglechat,5f1217f36da6b51388a85d36,Yes,"I'm sorry, but I don't seem to have a solid answer for that.. :(",affirm
jugglechat,59280d6e0db72d0001af431c,How can we prevent it,there is no evidence to support transmission of COVID-19 through imported goods,qa
jugglechat,5f966d8921aa2d5482db1325,Am I at a higher risk as an older person,"avoiding non-essential gatherings avoiding common greetings, such as handshakes avoiding crowded places such as concerts, arenas, conferences and festivals limiting contact with people at higher risk like older adults and those in poor health keeping a distance of at least 2 arms-length (approximately 6 feet) from others  For example - if you need to go grocery shopping, limit to once a week",qa
jugglechat,5f68b388639cf2015e259207,why you are not answering my questions,"Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. As COVID-19 spreads person-to-person in close contact, we want to reduce the chance of infection amongst populations that are vulnerable. This includes older adults (over the age of 65) and those with suppressed immune systems. It is also to help reduce the burden on healthcar esystems and workers, as there are not enough workers and beds to care for patients if everyone were to have COVID-19 at the same time.",faq
jugglechat,5cf17b927c3db00019d46169,who situation,"Older adults (people over the age of 65), those who live in nursing homes or long term care facilities, people who have underlying medical conditions (e.g. chronic lung disease, asthma, diabetes, sickle cell anemia, weakened immune system, chemotherapy, liver cirrhosis, etc), pregnant people, and incarcerated populations.",faq
jugglechat,5cc645136beb0100161eed52,Okay got it,decided on a case-by-case basis,qa
jugglechat,5f966d8921aa2d5482db1325,How far apart should physical distancing be,It requires the creation of physical space between individuals who may spread certain infectious diseases,qa
jugglechat,5f68b388639cf2015e259207,what else ,CDC's website about what to do if you get sick.,qa
jugglechat,5c766bccf1bfcf001554f0c0,Please could you give me a summary of the lesson,"COVID-19 is caused by the virus severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a new virus in humans causing respiratory illness which can be spread from person-to-person. a physical distance of at least 1 meter (3 ft) between persons is suggested by the world health organization (WHO) to avoid infection, although some WHO member states have recommended maintaining greater distances whenever possible.",absum
jugglechat,5eaf1a2c649fd108284c2b5f,Do a lot of children get COVID,"Schools and childcare programs are not expected to screen children, students, or staff to identify cases of COVID-19. The majority of respiratory illnesses are not COVID-19. If a community or school has cases of COVID-19, local health officials will help identify those individuals and will follow up on next steps.",faq
jugglechat,59e09b1f24d7bf00012f0ca8,Please summarise the lesson given previously. I didn't ask about travel.,"Each EU/EEA country may issue specific advice to travellers to areas with local or community transmission of COVID-19. Consult your local health authority or the Ministry of Foreign Affairs to get advice tailored for residents in your setting. . . For an updated list of areas of presumed community transmission, please refer to WHO situation reports for country classification.",faq
jugglechat,5c4715a0c41b2a0001838ebf,Whats your name,SARS-CoV-2,qa
jugglechat,5a4e26a8f4c9dc0001b7a1b5,ok,"I'm sorry, but I don't seem to have a solid answer for that.. :(",greet
jugglechat,5f68b388639cf2015e259207,thats it ,scientists are currently testing it to see if it can be used to treat COVID19,qa
jugglechat,58d3d69a47aa1e00010476f4,whats IPES,"I'm sorry, but I don't seem to have a solid answer for that.. :(",qa
jugglechat,5c4715a0c41b2a0001838ebf,What is the best chance of a cure for corona,there is no evidence that current medicine can prevent or cure the disease,qa
jugglechat,5eaf1a2c649fd108284c2b5f,Is COVID very contagious,It requires the creation of physical space between individuals who may spread certain infectious diseases,qa
jugglechat,5f966d8921aa2d5482db1325,What is IPC,CDC's website,qa
jugglechat,58d3d69a47aa1e00010476f4,what is covid 19,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",faq
jugglechat,59e09b1f24d7bf00012f0ca8,What is the difference between respiratory droplet transmission and aerosol transmission,"this is a recommended practice and does not mean that if you maintain a six foot difference from everyone, you will not get the virus",qa
jugglechat,5d91b008f9f7440016406572,why do taxi drivers or shop staff not wear masks but customers have to to enter ,only wear a face mask if a healthcare professional recommends it,qa
jugglechat,5c766bccf1bfcf001554f0c0,How likely am I to get COVID-19,there is no evidence to support transmission of COVID-19 through imported goods,qa
jugglechat,5a4e26a8f4c9dc0001b7a1b5,what is your name,Coronavirus-2 (SARS-CoV-2) is the name given to the 2019 novel coronavirus,qa
jugglechat,59e09b1f24d7bf00012f0ca8,What is IPC,CDC's website,qa
jugglechat,5bcf365f937b3c00014396f6,When is a Covid-19 vaccine likely to be available,"At this time, there is no vaccine",qa
jugglechat,58d3d69a47aa1e00010476f4,yes,"I'm sorry, but I don't seem to have a solid answer for that.. :(",affirm
jugglechat,5eaf1a2c649fd108284c2b5f,How can I best protect myself against getting COVID,"At this time, there is no vaccine for COVID-19",qa
jugglechat,5a4e26a8f4c9dc0001b7a1b5,how does it affect you,COVID-19 does not affect children nearly as much as it affects adults,qa
jugglechat,5bcf365f937b3c00014396f6,What is the overall death rate,"More serious cases develop severe pneumonia, acute respiratory distress syndrome, sepsis and septic shock that can lead to death",qa
jugglechat,5c4715a0c41b2a0001838ebf,What percentage of the population has corona virus,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",faq
jugglechat,5a4e26a8f4c9dc0001b7a1b5,should i wash my hands,"Handwashing with soap and water for at least 20 seconds is the best way to protect yourself and your family from getting sick! This is important to do regularly - everytime you wash your hands - but especially after blowing your nose, coughing, sneezing, going to the restroom, and before eating or preparing food? If you do not have soap and water available, please use an alcohol based hand sanitizer that has at least 60% alcohol.",faq
jugglechat,5a4e26a8f4c9dc0001b7a1b5,does it stop you breathing,"They are any types of secretions that come from your nose and mouth. This could include droplets released when you sneeze, cough, or talk. Respiratory droplets may also be passed from person-to-person through commonly used surfaces such as door knobs, elevator buttons and faucets.  [[Would you like more information on how you can avoid getting infected with the virus that causes Covid19?]] Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. It means avoiding crowds, mass gatherings, and maintaining at least a 6 foot distance fom others. This means no handshakes, hugs, or high-fives. It is also important to practice frequent hand-washing with soap and water or an alcohol-based (at least 60%) hand sanitizer.",faq
jugglechat,58d3d69a47aa1e00010476f4,Why do we wear masks,"You should only wear a face mask if a healthcare professional recommends it. Generally, those who have COVID-19 and are showing symptoms should wear face-masks to prevent others from the risk of getting infected  Please do not stock significantly on face masks as they are also crucial for health workers and those who are taking care of people infected with COVID-19.",faq
jugglechat,5c766bccf1bfcf001554f0c0,What is the UK doing to prevent the spread of COVID-19,It is still important that your child help stop the spread of COVID-19 by practicing the same things you are doing to stay healthy and safe,qa
jugglechat,594ef8ef6d3780000120d4d9,can you give me a short summary of the lesson,"COVID-19 is caused by the virus severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a new virus in humans causing respiratory illness which can be spread from person-to-person. a physical distance of at least 1 meter (3 ft) between persons is suggested by the world health organization (WHO) to avoid infection, although some WHO member states have recommended maintaining greater distances whenever possible.",absum
jugglechat,5c4715a0c41b2a0001838ebf,No,"I'm sorry, but I don't seem to have a solid answer for that.. :(",deny
jugglechat,59e09b1f24d7bf00012f0ca8,What is the recovery rate for Covid 19,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",faq
jugglechat,5c766bccf1bfcf001554f0c0,Is it safe to go to school,"What it means is to stay at home as much as possible, and limit your outside exposure",qa
jugglechat,58d3d69a47aa1e00010476f4,when was 1st case,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",faq
jugglechat,5c4715a0c41b2a0001838ebf,Is joe biden the right president,Chloroquine phosphate is a non-medical form of chloroquine and is not meant for humans. It is often used to clean aquariums. It can lead to injury and death if consumed.,faq
jugglechat,5cc645136beb0100161eed52,the healthcare is tailored to each individual depending on the severity or any underlying health conditons,Someone who is actively sick with COVID-19 can spread the illness to others,qa
jugglechat,5d91b008f9f7440016406572,what can people do to help prevent the spread of the virus from spiking again in the uk,"Yes. It is actively spreading person to person. The CDC recommends that those who have COVID-19 are isolated either at a hospital or at home, depending on how sick they are, until they are no longer at risk of infecting others.",faq
jugglechat,594ef8ef6d3780000120d4d9,what infection prevention controls should I take,"ensure workers follow routine practices to prevent exposure to wastewater. These include using engineering and administrative controls, safe work practices, and PPE normally required for work tasks when handling untreated wastewater",qa
jugglechat,5c766bccf1bfcf001554f0c0,What are the main symptoms of COVID-19,there is no evidence that food items imported into the European Union in accordance with the applicable animal and public health regulations pose a risk for the health of EU citizens in relation to COVID-19. The main mode of transmission is from person to person,qa
jugglechat,5cc645136beb0100161eed52,This is true yes,as long as you are not sick and contagious. Donated blood is always needed,qa
jugglechat,5b5341ddd8348500012ca10d,What are the main symptoms of Covid 19,there is no evidence that food items imported into the European Union in accordance with the applicable animal and public health regulations pose a risk for the health of EU citizens in relation to COVID-19. The main mode of transmission is from person to person,qa
