group,chat_input,chat_response,chat_bot_type
qa,what is the incubation period for covid-19,are not yet known,qa
qa,If no action is taken will the disease eventually die out,stay calm and put your preparedness plan into action,qa
qa,What is IPC,guidance available for people who have or think they may have COVID-19,qa
qa,Are you supposed to be helping,CDC's health communication resources. CDC information on stigma and COVID-19. CDC information on COVID-19 and children.,qa
qa,how long should I wash my hands for,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,Is there a vaccine for COVID-19,"At this time, there is no vaccine",qa
qa,Am I doing this wrong,"Some kids and infants have been sick with COVID-19, but it is still adults who make up most of the cases we are seeing today. If a child gets COVID-19, their symptoms are going to be similar to the symptoms adults get",qa
qa,How many people have died from Covid19,"It has shown some promise in a few cases, but needs to be tested among many more people",qa
qa,How far do I have to stand away from somebody who may have the disease,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19 (PDF),qa
qa,How likely is it that I will go to hospital with Covid-19,"The CDC recommends that those who have COVID-19 are isolated either at a hospital or at home, depending on how sick they are",qa
qa,Where did COVID-19 originate,it is only passing person-to-person currently,qa
qa,are ethnic minorities adversly affected,Communicating the facts that viruses do not target specific racial or ethnic groups,qa
qa,In what country was the first outbreak of COVID-19,China,qa
qa,"I have no symptoms but my test came back positive, how long should I isolate for","regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,where did the virus come from,it is only passing person-to-person currently,qa
qa,Can I catch the virus from surfaces,These droplets land on objects and surfaces around the person,qa
qa,is 3ft enough space to be safe,Achieving space between individuals of approximately six feet is advisable,qa
qa,Did the virus come from markets in china,the virus likely originated from bats and may have passed through an intermediary animal source (currently unknown) in China before being transmitted to humans,qa
qa,If you catch it are you then immune,People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets,qa
qa,Where does your information come from,"Iran, Italy, Japan or South Korea",qa
qa,if you have it and it clears up can you still be a carrier,the risk is still relatively low,qa
qa,Where did it come from,it is only passing person-to-person currently,qa
qa,How much is the likelihood of a 30 year old dying from covid,The likelihood of an infected person contaminating commercial goods is low,qa
qa,What are the chances of infection to me and my family if one of the classmate from my child class was suffering from Covid infection and my child was playing with her,Treatment of the infection depends on the severity of the disease presentation,qa
qa,How should i prevent myself getting sick,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,Is staying at home the best prevention,avoid being exposed to the virus and use good hand hygiene,qa
qa,What are the chances of infection to me if I walk everyday where lots of people mostly walk or jog,"avoid going on trips, using public transport and instead work from home",qa
qa,isolate,Self-isolate for 14 days after your return,qa
qa,country,"Consult your local health authority or the Ministry of Foreign Affairs to get advice tailored for residents in your setting. . . For an updated list of areas of presumed community transmission, please refer to WHO situation reports for country classification",qa
qa,How do you feel about the Coronavirus,https://www.cdc.gov/coronavirus/2019-ncov/specific-groups/high-risk-complications.html,qa
qa,pandemic,"gloves, safety glasses, shoes, earplugs or muffs, hard hats, respirators, coveralls, etc.",qa
qa,How many people have been infected by COVID worldwide,"The risk of being infected on an airplane cannot be excluded, but is currently considered to be low for an individual traveller",qa
qa,What percentage you think I will get covid if I am following the guidance and not going outside at all.,What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19 (PDF),qa
qa,What is covid,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease,qa
qa,Have you had covid 19,call your health care provider or local public health department,qa
qa,How long should you wash your hands for,not certain how long the virus that causes COVID-19 survives on surfaces,qa
qa,How many people have been killed by COVID-19,contact your local health authority for advice,qa
qa,will the survey be based on what I have just read,"it is unclear over what period of time this will take place. We cannot anticipate the impact this will have on Germany. It could be more severe than a serious wave of influenza; progression could, however, also be much milder. There is no way to predict this",qa
qa,What hand gel should I use,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,That doesn't answer my question,See previous answer,qa
qa,Where did it come from,it is only passing person-to-person currently,qa
qa,What should I do if I think I have COVID-19,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,Why are you not answering my questions properly,"Before being permitted to board a departing flight, you may have your temperature taken and be asked questions about your travel history and health.",qa
qa,"You're not a very good chatbot, are you",stay at home except when you need to get medical care,qa
qa,was covid started in a lab,COVID-19 first started,qa
qa,What is the proper way to wash my hands to prevent COVID,avoid being exposed to the virus and use good hand hygiene,qa
qa,"You're useless, aren't you","If you're sick, stay at home except when you need to get medical care.",qa
qa,what are the main symptoms of covid,there is no evidence to support transmission of COVID-19 associated with food,qa
qa,What are the main symptoms,there is no evidence to support transmission of COVID-19 associated with food,qa
qa,I'm not sick,"restrict contact with pets and other animals while you are sick with COVID-19, just like you would around other people. Although there have not been reports of pets or other animals becoming sick with COVID-19, it is still recommended that people sick with COVID-19 limit contact with animals until more information is known about the virus. When possible, have another member of your household care for your animals while you are sick. If you are sick with COVID-19, avoid contact with your pet, including petting, snuggling, being kissed or licked, and sharing food",qa
qa,How safe is the new vacine.,as long as you are not sick and contagious,qa
qa,how do you catch coronavirus,call before going to the emergency room,qa
qa,How is Covid treated,there is no evidence to support transmission of COVID-19 through imported goods,qa
qa,is a high temperture a symptom,"stay calm and put your preparedness plan into action. Please stay home if you are sick, and limit contact with others as much as possible (with at least a 6 feet distance between you and another person). It is important to stay informed about the local COVID-19 situation. Please continue to practice handwashing, cover your coughs and sneezes with tissue, and frequently clean high-touch surfaces with regular household detergent and water.   It is important to also notify your workplace ASAP if your regular work schedule will need to change. Ask to work from home or take leave if your or someone in your home gets sick with COVID-19 symptom",qa
qa,How is Covid transmitted,contact with respiratory droplets rather than through the air,qa
qa,what is social distancing,"is one of the most effective ways to reduce the spread of illness during an outbreak, but it is sometimes hard to understand what this means given the vague language. What it means is to stay at home as much as possible, and limit your outside exposure",qa
qa,What is incubation time,Most estimates of the incubation period for COVID-19 range from 1-14 days,qa
qa,do cats transmit covid,"it does linger in the air for some amount of time. However, we are still not sure how long it is in the air for",qa
qa,Can you get the corona virus more than once,quarantine yourself for at least 14 days,qa
qa,Are you allowed to socialise with family.,"American citizens, lawful permanent residents, and family members (as specified in the Presidential Proclamationexternal icon) who have been in countries with a Level 3 travel health notice within 14 days prior to their arrival will be allowed to enter the United States.",qa
qa,do i need to go to hospital if i get coronavirus,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,what is the incubation period,2–14 days,qa
qa,What are the symptoms of Coivd 19,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19 (PDF),qa
qa,Do I need to wash my hair if I travel from other country and arrive too late to take bath,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,will i die from coronavirus,"unlike influenza, there is no vaccine and no specific treatment for the disease",qa
qa,Are there certain people who are immune to the virus,older adults (over the age of 65) and those with suppressed immune systems,qa
qa,What is Covid-19,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019,qa
qa,What is covid,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease,qa
qa,what does icp mean,"it means is to stay at home as much as possible, and limit your outside exposure",qa
qa,How deadly is Covid 19,SARS was more deadly but much less infectious than COVID-19,qa
qa,What is coronavirus,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019,qa
qa,Where was Covid-19 first found,"Wuhan City, Hubei Province, China",qa
qa,How is Covid 19 spread,there is no evidence to support transmission of COVID-19 through imported goods,qa
qa,How do I avoid getting Covid-19,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,what are the symptoms of coronavirus,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19 (PDF),qa
qa,How is covid transmitted,contact with respiratory droplets rather than through the air,qa
qa,I think 14 days is a good idea.,"There is no reason to think that any animals including pets in the United States might be a source of infection with this new coronavirus. To date, CDC has not received any reports of pets or other animals becoming sick with COVID-19. At this time, there is no evidence that companion animals including pets can spread COVID-19",qa
qa,how did it transmit so fast,respiratory droplets that come from coughing or sneezing,qa
qa,Do animals die of the corona virus,2019,qa
qa,What is the WHO,guidance available for people who have or think they may have COVID-19,qa
qa,what is IPC,guidance available for people who have or think they may have COVID-19,qa
qa,what is coronavirus,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019,qa
qa,what colour is the sky,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19,qa
qa,How long do you have to isolate for,Self-isolate for 14 days,qa
qa,500,"I'm sorry, but I don't seem to have a solid answer for that.. :(",qa
qa,Which areas of society are the most vulnerable to Covid 19,"most effective practice when used in combination with frequent hand-washing with soap and water, or with an alcohol-based hand sanitizer.  However, these is a shortage of available face masks for health workers",qa
qa,how did it spread across countries,it is only passing person-to-person currently,qa
qa,how long it take for a vaccine,"At this time, there is no vaccine for COVID-19",qa
qa,I'm ready,"I'm sorry, but I don't seem to have a solid answer for that.. :(",qa
qa,What do I do if I have Covid symptoms,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19 (PDF),qa
qa,why is there a 2m rule,"Unlike SARS, in COVID19 patients become highly infectious before they become seriously ill, explaining at least in part why Covid-19 acts like a super-SARS.  [[Would you like to know why there are two names for COVID19",qa
qa,not sure,some who are not sure how or where they became infected,qa
qa,what are the main sympons,there is no evidence to support transmission of COVID-19 associated with food,qa
qa,How is covid-19 spreading,person to person,qa
qa,What if some old person fall down walking and he is coughing and I help him will I get the infection later he is tasted positive .,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,how did it start,it is only passing person-to-person currently,qa
qa,When was the first case of covid,The first cases are linked to a live animal market,qa
qa,What caused covid-19 infection,COVID-19 is caused by a virus,qa
qa,Where did Covid 19 start,it is only passing person-to-person currently,qa
qa,yes why are there two names for it,SARS-CoV-2 and COVID19,qa
qa,why,"It has shown some promise in a few cases, but needs to be tested among many more people",qa
qa,How did covid start,it is only passing person-to-person currently,qa
qa,Can dogs get covid,There is no evidence that companion animals (e.g. dogs or cats) pose a risk of infection to humans,qa
qa,How many cases are there currently,"It has shown some promise in a few cases, but needs to be tested among many more people",qa
qa,what can you do to prevent,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19 (PDF),qa
qa,Although minx are now proven to spread a similar virus,"The first infections were linked to a live animal market, but the virus is now spreading from person-to-person",qa
qa,What is the percentage of people who are asymptomatic of covid-19,The percentage of asymptomatic cases is unclear,qa
qa,how can i prevent covid-19 infection,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,what is the best way to control the spread of corona virus,avoid being exposed to the virus and use good hand hygiene,qa
qa,when will there be a vaccine,"At this time, there is no vaccine for COVID-19",qa
qa,Who does covid effect the most,"pregnant women are more at risk of developing severe illness than other healthy adults from coronavirus. Currently, it is expected that most pregnant women will likely experience only mild to moderate cold and flu - like symptoms",qa
qa,Is coughing a symptom,"Please continue to practice handwashing, cover your coughs and sneezes with tissue, and frequently clean high-touch surfaces with regular household detergent and water.   It is important to also notify your workplace ASAP if your regular work schedule will need to change. Ask to work from home or take leave if your or someone in your home gets sick with COVID-19 symptom",qa
qa,Can covid survive in the fridge,"there is no evidence of food or food packaging being associated with transmission of COVID-19. Like other viruses, it is possible that the virus that causes COVID-19 can survive on surfaces or objects. For that reason, it is critical to wash your hands often, including utensils. Currently, there is no evidence of food or food packaging being associated with transmission of COVID-19",qa
qa,what are the symptoms of covid,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19,qa
qa,This is true,"The risk of catching COVID-19 from someone with no symptoms at all is very low. However, many people with COVID-19 experience only mild symptoms. This is particularly true at the early stages of the disease",qa
qa,www,"I'm sorry, but I don't seem to have a solid answer for that.. :(",qa
qa,what is the infection rate of covid-19,20-30 per thousand people diagnosed,qa
qa,why is taste and smell lost with corona virus,it was identified in the year 2019.,qa
qa,Could spread to other animals in the future.,"it is now spreading from person-to-person in China. There is no reason to think that any animals including pets in the United States might be a source of infection with this new coronavirus. To date, CDC has not received any reports of pets or other animals becoming sick with COVID-19. At this time, there is no evidence that companion animals including pets can spread COVID-19",qa
qa,What can we do to prevent getting covid,most known cases so far have primairly been adults,qa
qa,"In those people who have tested positive for covid, what is the percentage who have no symptoms",approximately 80 percent do not exhibit symptoms that would require hospitalization,qa
qa,Where did COVID-19 originate,it is only passing person-to-person currently,qa
qa,How long does Covid19 last,it is not possible to predict how long the outbreak will last,qa
qa,are there any long term effects of the virus yet,"chronic lung disease, asthma, diabetes, sickle cell anemia, weakened immune system, chemotherapy, liver cirrhosis",qa
qa,This is also true,"The risk of catching COVID-19 from someone with no symptoms at all is very low. However, many people with COVID-19 experience only mild symptoms. This is particularly true at the early stages of the disease",qa
qa,how long to wash hands,not certain how long the virus that causes COVID-19 survives on surfaces,qa
qa,How likely are children to catch corona virus,about 1 in every 5 people who catch it need hospital care,qa
qa,Is Covid19 worse than the flu,COVID-19 is a new coronavirus that we have not seen previously,qa
qa,when did the pandemic start in the UK,In 2003,qa
qa,What must be done to reduce cases,www.rki.de/ncov-handzettel,qa
qa,which part of the respiratory system does it affect,Middle East Respiratory Syndrome,qa
qa,What does SARS stand for,SARS-CoV-2 RNA may be detectable in the upper or lower respiratory tract for weeks after illness onset,qa
qa,What is the percentage of people who have no symptoms at all,checking people at the airport,qa
qa,How long is the incubation period for COVID-19,the period of quarantine is 14 days,qa
qa,how long should you wash your hands for,not certain how long the virus that causes COVID-19 survives on surfaces,qa
qa,Does wearing a face covering prevent infection,there is no evidence that face masks will effectively prevent you from being infected with the virus,qa
qa,does opening the windows help,Maintaining a six foot distance between yourself and others (who may possibly be infected) can help reduce a healthy person's risk of exposure and transmission of COVID-19.,qa
qa,Will an vaccine be effective,it needs to undergo extensive testing to determine its safety and efficacy,qa
qa,How is it spread,there is no evidence to support transmission of COVID-19 through imported goods,qa
qa,Also true,The risk of catching COVID-19 from someone with no symptoms at all is very low,qa
qa,where did it originate,it is only passing person-to-person currently,qa
qa,Is Covid19 a threat to ordinary people,worried or anxious about friends and relatives who are living in or visiting areas where COVID-19 is spreading,qa
qa,What are the main symptoms of Covid-19,there is no evidence to support transmission of COVID-19 associated with food,qa
qa,where was covid orginated from,"Wuhan City, Hubei Province, China",qa
qa,How long does the virus particles stay in the air,we are still not sure how long it is in the air for,qa
qa,How many cases of people with the virus will die,"between 15 000 and 75 000 people die prematurely due to causes associated with seasonal influenza each year in the EU, the UK, Norway, Iceland and Liechtenstein. This is approximately 1 in every 1 000 people who are infected. By comparison, the current estimated mortality rate for COVID-19 is 20-30 per 1 000 people.. . Despite the relatively low mortality rate for seasonal influenza, many people die from the disease due to the large number of people who contract it each year. The concern about COVID-19 is that, unlike influenza, there is no vaccine and no specific treatment for the disease",qa
qa,Is there a vaccine for COVID-19,"At this time, there is no vaccine",qa
qa,what is the incidence of people suffering from long covid,we are still not sure how long it is in the air for,qa
qa,Who is most at risk,children do not appear to be at higher risk for COVID-19 than adults,qa
qa,Where did COVID originate from,it is only passing person-to-person currently,qa
qa,"Hello, I need your advice.","Stay home if you can. Talk to your employer to discuss working from home, taking leave if you or someone in your household gets sick with COVID-19 symptoms, or if your child's school is dismissed temporarily.",qa
qa,will it coinfect with the flu virus,There is not enough epidemiological information at this time to determine how easily and sustainably this virus spreads between people,qa
qa,do babies get coronavirus,There have been a small number of reported problems with pregnancy or delivery (e.g. preterm birth) in babies born to mothers who tested positive for COVID-19 during their pregnancy,qa
qa,How do you get Covid-19,"stock up on supplies; take everyday precautions to keep space between yourself and others; when you go out in public, keep away from others who are sick; limit close contact and wash your hands often; and avoid crowds, cruise travel, and non-essential travel.",qa
qa,how can I prevent the spread of the virus,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,How many people in the UK have had the virus,"depends on factors including how well it spreads between people, the severity of the illness it causes, and the medical or other measures",qa
qa,What is a coronavirus,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19 (PDF),qa
qa,how long should I isolate,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,Can covid 19 mutate,The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales.,qa
qa,What distance should you maintain without a face covering,"avoiding non-essential gatherings avoiding common greetings, such as handshakes avoiding crowded places such as concerts, arenas, conferences and festivals limiting contact with people at higher risk like older adults and those in poor health keeping a distance of at least 2 arms-length (approximately 6 feet) from others",qa
qa,When will there be a covid vaccine,"At this time, there is no vaccine for COVID-19",qa
qa,How are you dealing with the pandemic,it is not possible to predict how long the outbreak will last and how the epidemic will unfold. We are dealing with a new virus and therefore a lot of uncertainty remains,qa
qa,Can over the counter drugs help fight Covid19,Counter stigma by learning and sharing facts. Communicating the facts that viruses do not target specific racial or ethnic groups and how COVID-19 actually spreads can help stop stigma,qa
qa,how soon will a vaccine be available,"As yet, there is no vaccine available",qa
qa,how can i contract covid,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,Is being young less chance of infection,There may be less of a chance of getting the illness by holding the hand or hugging the deceased body after it has been prepared for viewing,qa
qa,How do you avoid getting Covid-19,"stock up on supplies; take everyday precautions to keep space between yourself and others; when you go out in public, keep away from others who are sick; limit close contact and wash your hands often; and avoid crowds, cruise travel, and non-essential travel",qa
qa,What is the best way to prevent catching the virus,avoid being exposed to the virus and use good hand hygiene,qa
qa,Is Covid19 man made,COVID19 is a novel coronavirus that has been recently identified,qa
qa,What percent of critically ill patients are dying from COVID,approximately 80 percent do not exhibit symptoms that would require hospitalization,qa
qa,Does taking vitamins help prevent catching the virus,avoid being exposed to the virus and use good hand hygiene,qa
