group,worker_id,evaluation_sentiment,evaluation_accuracy,evaluation_usefulness,sentiment
jugglechat,5e6b74c327cf78000b2bc167,Some of the answers were great - the answer to 'Where did coronavirus originate,4,5,1
jugglechat,5b537201c09af90001f100da,"very good. I like that the answers were detailed and direct, and quick",10,9,1
jugglechat,5e9b60ab511e7a0650994050,It did not always answer the question i asked for it.,5,5,0
jugglechat,58945874b5496d00018cfe1c,Very impressive.,9,10,1
jugglechat,5f4c2efda7461b8435ce9fd3,"The bot only managed to answer about half of the asked questions correctly, usually misunderstanding what was asked and responding with something completely unrelated to the asked question. Other than than the UI is nice and it answered quiet quickly",7,5,0
jugglechat,5f96215945124f17374e5cb2,"It gave detailed answers to questions which had readily generated answers, but could not answer all questions asked.",7,6,0
jugglechat,59280d6e0db72d0001af431c,"The responses appeared very quickly. Although sometimes the answers did not relate to the question, I liked the way it offered me a option. For example, it asked me if I would like to know about symptoms. This is a very helpful tool as it may have been a question I had not thought about",8,8,1
jugglechat,5f808f066890190db46e5e82,The responses to more complicated questions had no relevance to the question asked. the responses to the simple questions were okay but not detailed.,3,3,0
jugglechat,5fa9b5211233e720a8bf6426,"It felt like it was matching the words in my question to the information sheet without really any context or thinking.  I thought that the grammar in my first question was a little strange, and the answer to my second question, about the causes of COVID-19 was very very long, and could have at least started with a summary sentence answering muy question, even if this was just to say that the answer is complicated.  I felt that it did not understand my last two questions, hopefully that was not my fault!",4,4,0
jugglechat,5f79e004bedcf209c5be2d82,"A bit weird. It answered unrelated questions to the one i asked. The most obvious being ""How dangerous is covid",5,4,0
jugglechat,5fac5c4a38cf5c215aa22726,It was a nice interface and clear to read the answers and easy to type questions.  The responses were very very quick,3,4,1
jugglechat,5b6c0505b98cef00016f78ba,It's was good and very detailed easy to read,7,8,1
jugglechat,5f0c40741fa6930438c1f19c,I thought the chat experience was very good.  Clear and concise answers were given.,9,8,1
jugglechat,5eb07ca9744ab31361898861,"A bot creates an answer to the questions that you present. Additionally, I was surprised that the bot could create a large amount of information in such a short period of time. For the most part, the bot did answer the questions correctly, however, some answers did not really answer the questions asked.",7,6,0
jugglechat,5be8bde6598a35000108e15f,"It was very unhelpful, and could not parse the meaning of my questions with any accuracy at all. All answers were misunderstood and either too short, irrelevant or massively overcomplicated.",2,3,0
jugglechat,5ca380d0a29412000187029c,"It is good for general questions as it gives general answers but the more detailed questions it struggles to answer. For example i was curious as to how it infects you through touching your eyes, how that would reach the lungs, and it didnt give me a good answer for this.",8,7,0
jugglechat,5f6a56736ff2f810b5756509,"Ok, One of the questions wasnt answered how i expected.  When i asked where the virus originated, it told me what type of virus it was. The answers were on the whole useful, I would enjoy using this feature in the feature.",9,7,1
jugglechat,5a9d6bc3b5e2110001c6de60,"The chat bot didn't really answer my questions, then in the end it just kept directing me elsewhere for answers.",1,3,0
jugglechat,5ee73b641f27a34cb1d7fa2e,Some questions were better answered than others,6,6,0
jugglechat,5f56586779a86f05faa07be4,"it didn't give me the answers to my questions in most cases, but correctly gave me a brief summary and answered a question on vaccines briefly.",2,2,1
jugglechat,5a1570e15d06850001b00a14,It is good but I was confused about the advise or information given.,4,4,0
jugglechat,5c800507a1d4b900114f28c4,It was as limited as far as offering information as any other automated experience.,2,5,0
jugglechat,5cca19fccb4dc60001d22e18,I asked for the symptoms for covid and it didnt provide a list of symptoms,7,6,0
jugglechat,5d38770827fd1a0001f71f81,"I think that overall the chatbot is a good job at answering most of the questions, there were two where the answers were vague and these were regarding prevention and mortality rate. This could have been my mistake as I may have worded the questions wrong but I think that the bot should have been able to pick out the keywords.When I asked the question about symptoms the answer that I received was kind of long-winded, I would have much preferred to receive a bullet-pointed list so I could tick off the ones that I had gotten. Instead, I received information about reported illness and getting a test before I had even seen the symptoms. In this case, I think that seeing the symptoms is the first step and them providing me information about where to get a test and how should come after.When I asked about prevention it said something like 'doing the same thing as everyone to keep healthy', while this is good in practice I don't know what measures to put in place if the bot won't tell me.The next time I asked about prevention it told me to look towards the CDC, but I'm on the chatbot for a reason.",6,6,0
jugglechat,5eedec89a08bcd222d7c447c,"It is very quick to reply however I noticed that it doesn't fully understand the meaning of my question, I assume that it looks at the key words and created an answer off of that. However I believe with the right questioning it can be very efficient.",6,6,1
jugglechat,5dfeb647c0b81fb457299d05,"The chatbot picks up on key words like 'symptoms', 'vaccine' and splurges any information about this which was in the initial lesson. In that, most of the answers were relevant but for some questions like when I questioned whether the vaccine would be mandatory, the chatbot did not respond with a relevant answer other than a vaccine is not yet available. The responses tend to be super fast so that's a positive but for one of the questions, the chat box was stuck on 'thinking' for longer that what I hoped it would be. Based on the information from the lesson and the questions I asked, my overall impression of the chatbot it good, however the chatbot is unable to answer novel questions which someone might infer from the initial lesson.",7,6,0
jugglechat,5f2bd1c5f401406864b69ea4,"quite fake, it only seemed to pick up on a limited amount of key words, some of the answers made no sense at all in response to the question. Other, simpler questions it could pick up on well.",3,2,0
jugglechat,5efd5d99d36f631a42803168,"the chatbot didn't answer any of my questions, so was ineffective. However, the information it did provide was informative.",5,1,1
jugglechat,5f46b227eb8fa3064a301c6e,Overall it was okay but it did not clearly answeared some of my questions. Just general answers.,6,7,0
jugglechat,5f4b9740fdda0b04d86a533c,Good and bad - some useful information provided although not addressing my direct questions. Some questions seem to be misunderstood - answers not related. The chat seemed to generate predetermined answers - I did not feel that I was having an interaction.,6,6,0
jugglechat,5cbd10b31e31d600180cb542,its ok but didnt answer questions properly,5,4,0
jugglechat,5d1bf643f18c6c00187def44,"The bot seemed friendly, but could not quite understand what I was asking. There was plenty of information, but it wasn't very relevant to my questions. I think I prefer the long form article with all the information to a chat bot.",3,3,0
jugglechat,5e66af6f70f23a07c791f77d,"The bot answered 3 of my questions correctly and well, one was very precise and detailed the others was a short form responses but were good answers. The other questions were given very vague and incorrect responses but it may have been due to the nature of the question asked.",5,6,0
jugglechat,5f8a5209a63a2e113f515fc3,The answers were very long and informed. They went into great detail and made sure everything was explained thoroughly.,5,5,1
jugglechat,5f95953c6235723f9ee7441b,It's kind of new experience.,6,5,1
jugglechat,58f0aaf652ac63000154a804,it was very informative,10,10,1
jugglechat,5f2daf557dbdaa0c5d22f18d,It was better than some robot chats i've had in the past but i was not suprised in a good way. It didn't understand one of my basic questions.,8,8,0
jugglechat,577d1216b425c40001434b2f,"Pretty good. Responses were very quick, and mostly gave the information I was looking for. There were a couple of times the chat maybe didn't understand my question and gave me an answer that wasn't correct. I also noticed a spelling mistake in one answer. Overall it was quite helpful for the main information someone might need about the virus.",8,7,1
jugglechat,595e8df7ccf0620001537dbb,it wasnt very detailed and didnt answer my questions. It pretty much told me to go to my GP but its difficult enough to get an appointment with them at the moment so I dont think they would really appreciate this,3,4,0
jugglechat,5eb94a36da9efb0121ddf207,"not to bad, I asked when it was discovered and the answer was coronavirus rather than December 2019",8,8,0
jugglechat,5f2b37b5b986da5611f70e76,"Very frustrating!! Out of the five questions only two received a proper answer, the others were met with a response that made no sense to what I'd asked. More work needs to be put into the chat bot understanding different phrasings of questions if this is going to be used properly.",4,3,0
jugglechat,5a1dcb7dfe645f0001ea0a10,"I found it to be good as the bot was able to respond quickly and thoroughly to my questions. However, sometimes it did misinterpret my question if it was not worded exactly right. I liked the chat experience because it felt like I was talking to a real person, not a bot.",8,8,1
jugglechat,5be057a1c2b36c000141f77a,The answers came quickly but didn't always help,6,6,0
jugglechat,5f7627b46c029a08e8ca87a1,"It was very disappointing. Often I did not receive a proper answer, or even the recognition that the chatbot had no idea what I was talking about. Further it asked me a follow-up question from my side (""Would you like to know more about COVID-19 symtoms",3,3,0
jugglechat,5d756ce093a94500163ea6a2,It was not very accurate and mostly just gave a random piece of information that was not relevant to my question,2,3,0
jugglechat,5f806747ce193e06c30e6b2e,NOT ACURATE,7,5,0
jugglechat,5ee32976afc30b4bff630695,"good, gave some detailed answers, although a couple were a bit too brief - might have helped if chatbot clarified what I meant",8,8,1
jugglechat,5ecabd093cd0510651db7004,The chat bot does not answer the questions you ask but instead gives random pre-predicted answers - most likely in an order that has been set. They are also long and wordy so would be unlikely to help much with explaining easily if it was the correct answer.,1,1,0
jugglechat,5bead3d3feaa4a000164c40c,not good - summary wasn't enough based on what had been read probably don to interpretation,7,7,0
jugglechat,5f4f5d2da7606a000ab233c9,Fast response and reasonably accurate,8,6,1
jugglechat,5ad2260ddfe710000183b5de,not related answers to questions,1,1,0
jugglechat,5eab1e2cc8c0ac0d8262feaf,"It's alright in my opinion, It doesn't seem that smart and it feels mechanical in the sense that it doesn't appear to show individual responses to different but similar answers given (For example, it displays the same answers every time I ask it a question, not the same but close to the same and it gives me the same response.) I feel like it just picks up popular words and processes the response instead of actually reading the entire sentence. I wasn't really sure what questions to ask chatbot, so I sent some really simple questions, and Chatbot could not understand them.",8,6,0
jugglechat,5e4a7021b58e624c9e8e1df4,"It was good and detailed the answers very well, but I could tell that the questions were automated so were limited",8,7,0
jugglechat,5fadb3d6ca80c119cc2c7340,"One of my previous questions had an answer that did not make sense, now it does and sign posts to a useful tool.",6,6,0
jugglechat,5fa0116685177c0158e77913,"The chat bot was unable to decipher my questions, the responses were informative but not useful to my questions.",6,1,0
jugglechat,5d1c9d39ff67e3000140ca87,It was not very flexible in its response & as expected just displays information that is easier to find elsewhere. It is just a stop gap until AI becomes more prevalent.,3,6,0
jugglechat,5af1558e5bbd0b00015ec4cd,"The AI was ok but frequently did not answer or interpret questions correctly, often giving answers that were irrelevant to the question itself. Nonetheless, I still found the AI to be impressive.",8,4,1
jugglechat,5effa1b1767027080863869d,The summary was too long.  It also didn't answer the symptoms question very well.  The other questions were answered satisfactory.,7,7,0
jugglechat,5fae4a41eb572b2a4cae0d56,"This is probably a very very basic and new chat-bot, being programmed to respond well to COVID concerns. Kind of like help bots on retail websites, only it's quick and easy information about COVID-19. A lot of answers weren't at all in response to the questions asked, but that's expected due to the nature of keyword based responses.",5,2,0
jugglechat,5acaf4b1e1546900019c388c,Not really a great impression. Some answers were not at all what I had asked about and I was wondering if I had done it wrong and if I was supposed to write a specific set of questions.,5,3,0
jugglechat,5f6994f6471ff8000b5fbb91,"The chatbot seems to take answers from the passage I read, but will sometimes provide answers that were not included in the passage. Overall, it seems pretty helpful actually.",8,8,1
jugglechat,5fabf88cf050f60d613df769,"Not bad, could use some minor tweaks but in general quite useful. I love to see more detailed answers if possible.Example: Can Covid-19 be passed down to future generations.It should give the answer and Reason Why.",9,8,1
jugglechat,5c48cf663664d10001aade27,"That it didn't address other questions that a person may have regarding COVID 19 that are addressed in the media.  (such as Covid 'long haulers', a small percentage of people who test positive for the virus long after they should have recovered)  It also didn't really answer my questions regarding the environment, such as air conditioning, where studies have shown that there have been outbreaks in meatpacking plants (enclosed space, but the virus is spread via HVAC)I also disagree with the information regarding mask-wearing as there have been multiple studies that have proven that mask-wearing (even if you appear healthy because you can be asymptomatic for the virus) which is not really addressed either.",4,5,0
jugglechat,5f85a05138f44f02584cd474,"An easy experience and the questions it understood, delivered an accurate and appropriate response (detail & not too long).However it clearly didn't understand some of the basic questions and the answers felt a bit like a copy and paste job rather than an accurate response.I perhaps would've liked to see it provide some follow-on for each area to provide a reference and further infromation.",5,4,0
jugglechat,5e49805f3f7dd9409ccd8de8,"It didn't answer the questions I was asking. It seemed to pick out a key word and generate an answer based on that, but was not getting the right one. Questions on associated risk factors gave me an answer about pregnancy only, no other information and nothing covid specific. It is also seemingly US focused. For me the agencies it refers me to when not answering a question would not provide me with the information I need based on geographical location.",2,2,0
jugglechat,5e6e6c72a77b9e0009e4001b,"I think it was mostly a positive experience, it didn't correctly answer one of my questions but then gave an in-depth answer to another one so, I was pleased with that. The other 3 questions were a substantial enough response to my questions, so I am happy with the results of the bot overall.",8,8,1
