group,evaluation_sentiment,evaluation_accuracy,evaluation_usefulness,sentiment
qa,The chat was very quick to reply but the responses were completely inaccurate or irrelevant to the questions that I asked. I liked the layout and it was easy to read the responses and ask the questions but ultimately it felt more like style over substance. I think if I genuinely wanted answers it would have been very frustrating that it didn't actually answer the questions that I asked.,3,1,0
qa,"It was okay, sometimes the bot was good, sometimes not so much. For example, I asked when the virus was discovered and it answered ""Wuhan, China"". Also, I asked what the incubation period was and I expected it to say ""Between 2-14 days, with 5 day median"", but instead it just said ""14 days""",8,7,0
qa,"It felt strange as statements were presented rather than questions, however, it was easy to follow",8,8,0
qa,"some answers were good and addressed the question, some didn't make a lot of sense",5,7,0
qa,"It had good information, but it did not interpret questions in all case",8,6,0
qa,"It was not great. The chatbot only understood 2 of my questions and they were very basic! I believe that I phrased the questions very simply, so it wasn't a good response",4,3,0
qa,good but the replies were too fast,7,8,0
qa,"I found the chatbot did not respond well to even the most simple questions, such as I'm not sure if I have Covid-19.  There was not real introductions as to how the chatbot may help me. Nothing stated that would indicate the type of bot it is or indications of its abilities to solve issues online. There was no alternative information offered either, such as how to contact another source of information or a real doctor. No links to websites of phone contact.",1,1,0
qa,it was ok but answers we too canned or robtic.,4,5,0
qa,I may have misunderstood the survey and asked the wrong kind of questions as although I asked relevant questions someone could have  in relation to the informative document  provided I didn't get any relevant answers.,7,7,0
qa,it is very quick and the layout is clear,2,2,1
qa,Gave quite good responses though some were repeated for different questions,6,7,1
qa,"The chat experience was average. It answered most my questions accurately but some of my questions were incorrectly answered. Additionally, quick response time was quite fantastic.",8,6,1
qa,"The chat worked really well, the answers were appropriate and in response to my question and came back at a good response rate. I thought the chat was good and really useful and easy to use.",10,9,1
qa,"Twice I received the same answer that appeared to originally be in a list format with hyperlinks, however wasn't useful for the purposes of a chat bot, however 2 of the 5 questions seemed accurate and helpful.",4,4,1
qa,Only one answer was correct in my opinion. Feel like the answers went very off par.,2,2,0
qa,It was not very good. Only one out of the six questions that i asked (It couldn't answer one so i had to change it) were answered properly. Many questions i asked were answered with information that i didnt ask for. Seemed very clunky and unresponsive to the questions it was being asked.,6,3,0
qa,It was all right.  It missed a few questions that I asked.  I think it needs more work to be able to understand grammar maybe.  I asked which city currently is doing the best and the reply was Wuhan.,3,3,0
qa,"It repeats the definition of covid, and not straight answers.",8,7,1
qa,"It is quick and accurate, however I feel on one of the questions it did not understand what I was asking.",9,9,0
qa,"It's pretty good answered most of my questions well, except one.",9,8,1
qa,"It was a little confusing at first, but once I realized what I had to do it was okay. I'm not really sure what the point was of this whole thing.",9,7,0
qa,"It is not great, its slow and clunky to use. It doesn't produce the right answers. I would not recommend using this.",4,4,0
qa,"I found that the chat experience when questioning Chat Bot was rather inaccurate and felt as if the Chat Bot had simply googled what I asked for some questions, and others I was given the same answer twice for 2 different questions that I had asked it. Although I liked some of the answers and the accuracy that they showed, the answers themselves just felt very pre-written and set.",6,5,0
qa,"Not very good, I asked the bot simple questions and came up with inaccurate answers.",1,2,0
